년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.03.29,1,발전량,6.845,0.285,1.033,0,1.033,0.001,0,0,0,0,0,0,0.001,0.128,0.33,0.647,0.78,0.892,1.033,1.02,0.874,0.584,0.377,0.151,0.027,0,0,0,0,0
2018.03.30,1,발전량,9.629,0.401,1.39,0,1.39,0.003,0,0,0,0,0,0,0.003,0.118,0.329,0.684,1.155,1.39,1.384,1.327,1.206,1.032,0.68,0.287,0.033,0,0,0,0,0
2018.03.31,1,발전량,9.644,0.402,1.355,0,1.355,0.006,0,0,0,0,0,0,0.006,0.17,0.498,0.848,1.13,1.304,1.355,1.29,1.18,0.949,0.615,0.267,0.032,0,0,0,0,0
2018.04.01,1,발전량,4.78,0.199,0.776,0,0.776,0.005,0,0,0,0,0,0,0.005,0.111,0.31,0.424,0.545,0.745,0.776,0.473,0.588,0.44,0.184,0.156,0.022,0,0,0,0,0
2018.04.02,1,발전량,10.319,0.43,1.409,0,1.409,0.01,0,0,0,0,0,0,0.01,0.203,0.581,0.931,1.174,1.325,1.384,1.409,1.231,1.033,0.698,0.303,0.036,0,0,0,0,0
2018.04.03,1,발전량,8.414,0.351,1.328,0,1.328,0.007,0,0,0,0,0,0,0.007,0.1,0.493,0.72,0.716,0.986,1.301,1.328,1.064,0.895,0.482,0.286,0.036,0,0,0,0,0
2018.04.04,1,발전량,1.095,0.046,0.206,0,0.206,0.001,0,0,0,0,0,0,0,0,0.001,0.045,0.143,0.206,0.158,0.158,0.189,0.131,0.057,0.008,0,0,0,0,0,0
2018.04.05,1,발전량,0.676,0.028,0.113,0,0.113,0.001,0,0,0,0,0,0,0,0.004,0.033,0.058,0.079,0.1,0.113,0.103,0.069,0.075,0.042,0.001,0,0,0,0,0,0
2018.04.06,1,발전량,7.957,0.332,1.535,0,1.535,0.017,0,0,0,0,0,0,0,0.045,0.162,0.2,0.402,1.057,1.535,1.529,1.339,1.127,0.438,0.106,0.017,0,0,0,0,0
2018.04.07,1,발전량,6.931,0.289,1.197,0,1.197,0.031,0,0,0,0,0,0,0,0.031,0.094,0.402,0.773,0.567,0.847,1.092,1.197,0.954,0.536,0.392,0.046,0,0,0,0,0
2018.04.08,1,발전량,9.077,0.378,1.378,0,1.378,0.004,0,0,0,0,0,0,0.018,0.307,0.741,1.103,1.313,1.378,1.066,1.113,0.945,0.587,0.376,0.126,0.004,0,0,0,0,0
2018.04.09,1,발전량,11.656,0.486,1.536,0,1.536,0.019,0,0,0,0,0,0,0.019,0.309,0.731,1.113,1.355,1.453,1.536,1.471,1.39,1.116,0.765,0.347,0.051,0,0,0,0,0
2018.04.10,1,발전량,9.839,0.41,1.489,0,1.489,0.014,0,0,0,0,0,0,0.023,0.275,0.649,0.982,1.298,1.436,1.489,1.167,1.076,0.571,0.68,0.179,0.014,0,0,0,0,0
2018.04.11,1,발전량,11.928,0.497,1.595,0,1.595,0.024,0,0,0,0,0,0,0.024,0.285,0.68,1.084,1.36,1.537,1.595,1.538,1.39,1.16,0.83,0.399,0.047,0,0,0,0,0
2018.04.12,1,발전량,11.651,0.485,1.523,0,1.523,0.025,0,0,0,0,0,0,0.025,0.295,0.732,1.087,1.33,1.479,1.523,1.485,1.363,1.132,0.789,0.369,0.041,0,0,0,0,0
2018.04.13,1,발전량,8.186,0.341,1.362,0,1.362,0.027,0,0,0,0,0,0,0.039,0.347,0.664,0.915,1.068,1.3,1.362,1.024,0.581,0.445,0.251,0.164,0.027,0,0,0,0,0
2018.04.14,1,발전량,1.11,0.046,0.219,0,0.219,0.007,0,0,0,0,0,0,0,0.007,0.013,0.039,0.056,0.145,0.209,0.187,0.219,0.146,0.072,0.017,0,0,0,0,0,0
2018.04.15,1,발전량,9.112,0.38,1.391,0,1.391,0.035,0,0,0,0,0,0,0.035,0.231,0.459,0.592,1.083,1.391,1.361,1.364,1.216,0.567,0.482,0.264,0.066,0,0,0,0,0
2018.04.16,1,발전량,9.813,0.409,1.149,0,1.149,0.039,0,0,0,0,0,0,0.039,0.328,0.742,1.117,0.963,1.141,0.952,1.149,1.139,1.067,0.754,0.349,0.073,0,0,0,0,0
2018.04.17,1,발전량,10.507,0.438,1.448,0,1.448,0.027,0,0,0,0,0,0,0.027,0.213,0.704,1.05,1.163,1.061,1.411,1.448,1.274,0.987,0.788,0.317,0.065,0,0,0,0,0
2018.04.18,1,발전량,11.67,0.486,1.482,0,1.482,0.039,0,0,0,0,0,0,0.039,0.343,0.774,1.115,1.333,1.469,1.482,1.433,1.338,1.121,0.784,0.379,0.061,0,0,0,0,0
2018.04.19,1,발전량,11.38,0.474,1.496,0,1.496,0.04,0,0,0,0,0,0,0.04,0.329,0.739,1.08,1.297,1.442,1.496,1.461,1.29,1.07,0.731,0.349,0.056,0,0,0,0,0
2018.04.20,1,발전량,10.896,0.454,1.41,0,1.41,0.045,0,0,0,0,0,0,0.045,0.318,0.702,1.032,1.258,1.379,1.41,1.366,1.235,1.016,0.725,0.347,0.061,0,0,0,0,0
2018.04.21,1,발전량,10.917,0.455,1.419,0,1.419,0,0,0,0,0,0,0,0.044,0.333,0.735,1.059,1.273,1.387,1.419,1.372,1.224,1.046,0.667,0.279,0.079,0,0,0,0,0
